file_id	score
03d2930b-3e12-4e13-97d0-631a0ffd8116	0.0
03ddcf5d-71e8-4b8b-a962-c7ee30c3b759	0.0
03ec1d1f-af65-434b-bc61-f15a44be5d39	0.0
0425f453-f3d8-4cd6-8bd6-dceee30bebb2	0.0
042dfa90-cbd6-4885-855d-9e85dcc48f65	0.0
043457c4-6e53-43fd-b709-dd60099eed6e	0.0
04dd806a-b77b-443c-943e-79a006134dd8	0.0
04e5aafe-3912-4802-8f59-1f60f3bfd065	0.0
05d8f2b5-234f-4c84-b20e-c18f8c0dbe9e	0.0
0742cf40-3038-4464-afb0-a2d808fba84f	0.0
07b0ba21-f6de-4d4d-8614-2c4434aedda6	0.0
0975f4c4-2302-44c4-8afa-dab99110ab6d	0.0
0a65fd5a-fb12-4b69-9683-70f11fdc1f59	0.0
0caa4c50-675b-435b-8cff-50c63bf24248	0.0
0e39bce9-8fa7-451a-8a50-5a9f8fc4493f	0.0
0e42148a-0b84-4bda-a691-190b76f78ddd	0.0
0ea0f45c-5135-419b-b68b-fc297f3330b0	0.0
0ebd9f13-abd0-43d6-bfbe-af5286a86567	0.0
0f22482b-f338-4996-bc6d-b19b68c22060	0.0
104f0e86-69b4-4553-a88c-4f8cdf3f872d	0.0
129f6ca3-4bf0-4ff0-9ac3-7706f979a245	0.0
13c61319-2b50-4fec-a0d0-32f1bed89366	0.0
156992ee-9ff9-4cf1-bc14-3ac5bb7676d6	0.0
17611410-4cce-409a-8a30-f5a821295a56	0.0
19ac655e-d448-448c-a7f8-aebcfd2a2395	0.0
1a3a85c2-5efa-4da9-8eb5-26abc392b808	0.0
1abc682d-fc3f-4391-a761-630f5737fa69	0.0
1ad3c8c5-6918-4766-8b76-dbc06ca2a247	0.0
1b0da7b2-cf99-43f6-a52d-ed1e3325be11	0.0
1b0e449f-f3fc-46fa-a888-3a856cf7c427	0.0
1b5fc401-3d2c-456b-8ba0-a41c2d6a7745	0.0
1c8c9ea4-ff5c-450f-a5ec-da26afdfd9bf	0.0
1cc9370d-ea21-4cdb-bdad-d7ecf7460ce9	0.0
1d41aee2-5ef3-453d-a45e-c9ebd7837bab	0.0
1d90796c-ab53-4aa1-8daf-3c9c00c7e2d9	0.0
2037fc88-abaf-4ae3-9442-9593f2e3acdc	0.0
20645463-9f9f-4976-8cb4-936d3f5b24e7	0.0
